dimension,location,count,mean_price,mean_price_per_m2,mean_area
district_name,Thanh Hóa - Hà Trung,1,1650000000.0,9821428.57142857,168.0
district_name,Thanh Hóa - Quảng Xương,2,4350000000.0,37130681.81818181,135.0
district_name,Thanh Hóa - Sầm Sơn,4,3957500000.0,54554255.610290095,79.875
district_name,Thanh Hóa - Thanh Hóa,6,6825000000.0,44931716.74946484,216.5
district_name,Thanh Hóa - Thọ Xuân,2,1205000000.0,12490740.74074074,99.0
district_name,Thanh Hóa - Yên Định,1,600000000.0,5000000.0,120.0
district_name,Thái Bình - Thái Bình,1,2000000000.0,53333333.333333336,37.5
district_name,Thái Bình - Tiền Hải,1,2280000000.0,18240000.0,125.0
district_name,Thái Nguyên - Phổ Yên,7,3939142857.142857,33814409.48472412,128.72857142857143
district_name,Thái Nguyên - Sông Công,1,1800000000.0,20000000.0,90.0
district_name,Thái Nguyên - Thái Nguyên,8,2281250000.0,28938322.96176046,76.375
district_name,Tiền Giang - Châu Thành,1,1400000000.0,7000000.0,200.0
district_name,Tiền Giang - Gò Công,4,1512500000.0,8334223.48796591,196.725
district_name,Tiền Giang - Gò Công Đông,1,8000000000.0,5333333.333333333,1500.0
district_name,Tiền Giang - Mỹ Tho,3,4110000000.0,8635772.901003823,314.87333333333333
district_name,Tuyên Quang - Tuyên Quang,1,6000000000.0,50000000.0,120.0
district_name,Tây Ninh - Gò Dầu,1,700000000.0,6140350.8771929825,114.0
district_name,Tây Ninh - Trảng Bàng,11,2471272727.2727275,12331961.720050316,245.1818181818182
district_name,Tây Ninh - Tân Châu,1,1700000000.0,2672955.974842767,636.0
district_name,Tây Ninh - Tây Ninh,2,2225000000.0,16800553.49629333,127.3
district_name,Vĩnh Long - Long Hồ,1,2150000000.0,25294117.647058822,85.0
district_name,Vĩnh Long - Mang Thít,2,1040000000.0,1443573.1346588843,885.45
district_name,Vĩnh Long - Vĩnh Long,6,2506666666.6666665,15319440.454268241,235.66666666666666
district_name,Vĩnh Phúc - Bình Xuyên,2,4975000000.0,21380262.249827467,297.75
district_name,Vĩnh Phúc - Phúc Yên,4,6100000000.0,35427528.77204096,139.625
district_name,Vĩnh Phúc - Sông Lô,1,1300000000.0,12500000.0,104.0
district_name,Vĩnh Phúc - Tam Dương,2,1945000000.0,19388998.035363458,100.9
district_name,Vĩnh Phúc - Tam Đảo,1,1700000000.0,17000000.0,100.0
district_name,Vĩnh Phúc - Vĩnh Yên,7,4031428571.428571,42215105.39586605,94.75714285714285
district_name,Yên Bái - Yên Bái,1,5200000000.0,52000000.0,100.0
district_name,Điện Biên - Điện Biên Phủ,1,7500000000.0,75000000.0,100.0
district_name,Đà Nẵng - Cẩm Lệ,75,8673986666.666666,59334055.004345044,135.11866666666666
district_name,Đà Nẵng - Hòa Vang,19,2611447368.4210525,14028551.940305784,254.03157894736844
district_name,Đà Nẵng - Hải Châu,52,14183365384.615385,108975694.03739248,130.1346153846154
district_name,Đà Nẵng - Liên Chiểu,74,6483918918.918919,57304205.1389183,111.76891891891891
district_name,Đà Nẵng - Ngũ Hành Sơn,137,17071197080.291971,116085806.21911453,148.1605109489051
district_name,Đà Nẵng - Sơn Trà,130,19386499230.76923,128527342.11787106,149.6893846153846
district_name,Đà Nẵng - Thanh Khê,30,8736333333.333334,86632442.43148114,100.31
district_name,Đắk Lắk - Buôn Hồ,1,780000000.0,3900000.0,200.0
district_name,Đắk Lắk - Buôn Ma Thuột,12,3035000000.0,26062073.424737114,202.66333333333333
district_name,Đắk Lắk - Cư M'gar,1,580000000.0,3866666.6666666665,150.0
district_name,Đắk Lắk - Krông Pắc,1,565000000.0,4913043.478260869,115.0
district_name,Đắk Nông - Gia Nghĩa,2,3659999999.5,7113366.016798021,777.645
district_name,Đồng Nai - Biên Hòa,53,5659981132.075472,40347979.70099958,150.12075471698114
district_name,Đồng Nai - Long Khánh,7,2165714285.714286,11805978.327016791,288.34285714285716
district_name,Đồng Nai - Long Thành,16,3805625000.0,17035037.741938833,247.9
district_name,Đồng Nai - Nhơn Trạch,19,4858368421.052631,43851402.56485886,127.70789473684209
district_name,Đồng Nai - Thống Nhất,2,1900000000.0,19000000.0,100.0
district_name,Đồng Nai - Trảng Bom,10,5011000000.0,19449288.86306622,274.6
district_name,Đồng Nai - Vĩnh Cửu,15,1611866666.6666667,15263637.81990986,117.45333333333333
district_name,Đồng Nai - Định Quán,2,1135000000.0,2358639.2465885067,518.9
district_name,Đồng Tháp - Cao Lãnh,1,9900000000.0,18000000.0,550.0
district_name,Đồng Tháp - Lấp Vò,1,7000000000.0,8695652.173913043,805.0
district_name,Đồng Tháp - Sa Đéc,2,700000000.0,7184959.349593496,101.0
